Order	Family	Species	Occurrence	FishBase name	Name	Use	Use_elsewhere
Tetraodontiformes	Balistidae	Abalistes stellaris	native 	Starry triggerfish 	 	commercial 	commercial 
Perciformes	Scombridae	Acanthocybium solandri	native 	Wahoo 	 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus auranticavus	native 	Orange-socket surgeonfish 	Ring-tail surgeon 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus bariene	native 	Black-spot surgeonfish 	Eye-spot surgeon 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus blochii	native 	Ringtail surgeonfish 	Dark surgeon 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus dussumieri	native 	Eyestripe surgeonfish 	Pencilled surgeon 	commercial 	minor commercial 
Perciformes	Acanthuridae	Acanthurus grammoptilus	native 	Finelined surgeonfish 	 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus leucosternon	native 	Powderblue surgeonfish 	Botana biru 	minor commercial 	minor commercial 
Perciformes	Acanthuridae	Acanthurus lineatus	native 	Lined surgeonfish 	Botana kasur 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus maculiceps	native 	White-freckled surgeonfish 	Spot-face surgeon 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus mata	native 	Elongate surgeonfish 	Buntana 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus nigricauda	native 	Epaulette surgeonfish 	Dodoh 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus nigrofuscus	native 	Brown surgeonfish 	Dusky surgeonfish 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus olivaceus	native 	Orangespot surgeonfish 	Botana coklat 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus pyroferus	native 	Chocolate surgeonfish 	Botana model 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus triostegus	native 	Convict surgeonfish 	Botana lorek 	commercial 	commercial 
Perciformes	Acanthuridae	Acanthurus xanthopterus	native 	Yellowfin surgeonfish 	Kuu wadu 	commercial 	minor commercial 
Perciformes	Serranidae	Aethaloperca rogaa	native 	Redmouth grouper 	Geurape itam 	minor commercial 	minor commercial 
Myliobatiformes	Aetobatidae	Aetobatus flagellum	native 	Longheaded eagle ray 	Pari burung 	minor commercial 	minor commercial 
Myliobatiformes	Aetobatidae	Aetobatus narinari	native 	Whitespotted eagle ray 	Pari burung 	minor commercial 	minor commercial 
Myliobatiformes	Myliobatidae	Aetomylaeus nichofii	native 	Banded eagle ray 	Pari burung 	minor commercial 	minor commercial 
Albuliformes	Albulidae	Albula glossodonta	native 	Roundjaw bonefish 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alectis ciliaris	native 	African pompano 	Ikan rambut 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alectis indica	native 	Indian threadfish 	Kwee rombeh 	commercial 	commercial 
Perciformes	Carangidae	Alepes djedaba	native 	Shrimp scad 	Bagat 	commercial 	commercial 
Perciformes	Carangidae	Alepes kleinii	native 	Razorbelly scad 	 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alepes melanoptera	native 	Blackfin scad 	Selar ubur-ubur 	minor commercial 	minor commercial 
Perciformes	Carangidae	Alepes vari	native 	Herring scad 	Trevally scad 	minor commercial 	minor commercial 
Lamniformes	Alopiidae	Alopias vulpinus	native 	Thresher 	 	commercial 	commercial 
