Order	Family	Species	Occurrence	FishBase name	Name	Danger
Scorpaeniformes	Tetrarogidae	Ablabys taenianotus	native 	Cockatoo waspfish 	Ikan sampah 	venomous 
Perciformes	Pomacentridae	Abudefduf vaigiensis	native 	Indo-Pacific sergeant 	Sergeant major 	reports of ciguatera poisoning 
Perciformes	Scombridae	Acanthocybium solandri	native 	Wahoo 	 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Acanthurus lineatus	native 	Lined surgeonfish 	Botana kasur 	venomous 
Perciformes	Acanthuridae	Acanthurus mata	native 	Elongate surgeonfish 	Buntana 	venomous 
Perciformes	Acanthuridae	Acanthurus nigricauda	native 	Epaulette surgeonfish 	Dodoh 	poisonous to eat 
Perciformes	Acanthuridae	Acanthurus nigrofuscus	native 	Brown surgeonfish 	Dusky surgeonfish 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Acanthurus tennentii	native 	Doubleband surgeonfish 	Lieutenant surgeon 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Acanthurus triostegus	native 	Convict surgeonfish 	Botana lorek 	reports of ciguatera poisoning 
Perciformes	Acanthuridae	Acanthurus xanthopterus	native 	Yellowfin surgeonfish 	Kuu wadu 	venomous 
Perciformes	Gobiidae	Acentrogobius caninus	native 	Tropical sand goby 	Belosoh 	poisonous to eat 
Perciformes	Gobiidae	Acentrogobius nebulosus	native 	Shadow goby 	Bilir 	poisonous to eat 
Myliobatiformes	Aetobatidae	Aetobatus narinari	native 	Whitespotted eagle ray 	Pari burung 	traumatogenic 
Myliobatiformes	Aetobatidae	Aetobatus ocellatus	native 	Ocellated eagle ray 	 	traumatogenic 
Myliobatiformes	Myliobatidae	Aetomylaeus maculatus	native 	Mottled eagle ray 	Pari burung 	traumatogenic 
Myliobatiformes	Myliobatidae	Aetomylaeus milvus	native 	 	Pari pangka 	traumatogenic 
Perciformes	Carangidae	Alectis ciliaris	native 	African pompano 	Ikan rambut 	reports of ciguatera poisoning 
Batrachoidiformes	Batrachoididae	Allenbatrachus grunniens	native 	Grunting toadfish 	Edun 	venomous 
Tetraodontiformes	Monacanthidae	Aluterus monoceros	native 	Unicorn leatherjacket filefish 	Barat-barat 	reports of ciguatera poisoning 
Tetraodontiformes	Monacanthidae	Aluterus scriptus	native 	Scribbled leatherjacket filefish 	Tato kambing 	reports of ciguatera poisoning 
Siluriformes	Ariidae	Amissidens hainesi	native 	Ridged catfish 	 	traumatogenic 
Lophiiformes	Antennariidae	Antennarius biocellatus	native 	Brackishwater frogfish 	Brackish water anglerfish 	poisonous to eat 
Lophiiformes	Antennariidae	Antennatus tuberosus	native 	Tuberculated frogfish 	 	poisonous to eat 
Perciformes	Lutjanidae	Aphareus furca	native 	Small toothed jobfish 	Kurus bali 	reports of ciguatera poisoning 
Scorpaeniformes	Apistidae	Apistus carinatus	native 	Ocellated waspfish 	Longfin waspfish 	venomous 
Perciformes	Lutjanidae	Aprion virescens	native 	Green jobfish 	Ikan agam 	reports of ciguatera poisoning 
Siluriformes	Ariidae	Arius arius	native 	Threadfin sea catfish 	 	traumatogenic 
Siluriformes	Ariidae	Arius leptonotacanthus	native 	 	 	traumatogenic 
Siluriformes	Ariidae	Arius maculatus	native 	Spotted catfish 	Lundu 	traumatogenic 
Siluriformes	Ariidae	Arius microcephalus	native 	Squirrelheaded catfish 	 	traumatogenic 
Siluriformes	Ariidae	Arius nudidens	native 	 	 	traumatogenic 
Siluriformes	Ariidae	Arius oetik	native 	 	 	traumatogenic 
Siluriformes	Ariidae	Arius subrostratus	native 	Shovelnose sea catfish 	 	traumatogenic 
Siluriformes	Ariidae	Arius sumatranus	native 	Goat catfish 	 	traumatogenic 
Siluriformes	Ariidae	Arius venosus	native 	Veined catfish 	Duri manyung 	traumatogenic 
Tetraodontiformes	Tetraodontidae	Arothron hispidus	native 	White-spotted puffer 	Stars-and-stripes pufferfish 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Arothron immaculatus	native 	Immaculate puffer 	Buntel pasir 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Arothron mappa	native 	Map puffer 	Scribbled pufferfish 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Arothron meleagris	native 	Guineafowl puffer 	Guinea-fowl pufferfish 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Arothron nigropunctatus	native 	Blackspotted puffer 	Buntel babi 	poisonous to eat 
Tetraodontiformes	Tetraodontidae	Arothron stellatus	native 	Stellate puffer 	Starry pufferfish 	poisonous to eat 
Siluriformes	Ariidae	Aspistor hardenbergi	native 	 	 	traumatogenic 
Tetraodontiformes	Balistidae	Balistapus undulatus	native 	Orange-lined triggerfish 	Triger lorek 	traumatogenic 
Tetraodontiformes	Balistidae	Balistoides conspicillum	native 	Clown triggerfish 	Triger kembang 	reports of ciguatera poisoning 
Tetraodontiformes	Balistidae	Balistoides viridescens	native 	Titan triggerfish 	Lubien manok 	reports of ciguatera poisoning 
Siluriformes	Ariidae	Batrachocephalus mino	native 	Beardless sea catfish 	Manyung kodok 	traumatogenic 
Myliobatiformes	Dasyatidae	Brevitrygon imbricata	native 	Bengal whipray 	Pari blentung 	venomous 
Siluriformes	Ariidae	Brustiarius solidus	native 	Hard-palate catfish 	 	traumatogenic 
Tetraodontiformes	Balistidae	Canthidermis maculata	native 	Rough triggerfish 	Lubiem 	reports of ciguatera poisoning 
Tetraodontiformes	Tetraodontidae	Canthigaster rivulata	native 	Brown-lined puffer 	Tail-barred pufferfish 	venomous 
Tetraodontiformes	Tetraodontidae	Canthigaster valentini	native 	Valentin's sharpnose puffer 	Buntel valentini 	poisonous to eat 
Scorpaeniformes	Scorpaenidae	Caracanthus unipinna	native 	Pygmy coral croucher 	 	venomous 
Perciformes	Carangidae	Carangoides ferdau	native 	Blue trevally 	Nyubba biasa 	reports of ciguatera poisoning 
Perciformes	Carangidae	Caranx ignobilis	native 	Giant trevally 	Gapok 	reports of ciguatera poisoning 
Perciformes	Carangidae	Caranx lugubris	native 	Black jack 	Meah mondo 	reports of ciguatera poisoning 
Perciformes	Carangidae	Caranx melampygus	native 	Bluefin trevally 	Cá Khế vây đen 	reports of ciguatera poisoning 
Cypriniformes	Cyprinidae	Carassius auratus	introduced 	Goldfish 	 	potential pest 
Carcharhiniformes	Carcharhinidae	Carcharhinus albimarginatus	native 	Silvertip shark 	Cucut lanjaman 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus amblyrhynchoides	native 	Graceful shark 	Cucut lanjaman 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus amblyrhynchos	native 	Blacktail reef shark 	Cucut lanjaman 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus amboinensis	native 	Pigeye shark 	Mongiwa 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus falciformis	native 	Silky shark 	Mungsing 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus leucas	native 	Bull shark 	Cucut bekeman 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus limbatus	native 	Blacktip shark 	Cucut lanjaman 	traumatogenic 
Carcharhiniformes	Carcharhinidae	Carcharhinus longimanus	native 	Oceanic whitetip shark 	Cucut koboy 	traumatogenic 
