Order	Family	Species	Occurrence	FishBase name	Name	Ref. No.
Perciformes	Scombridae	Acanthocybium solandri	native 	Wahoo 	 	4699 	     
Perciformes	Sparidae	Acanthopagrus berda	misidentification 	Goldsilk seabream 	 	3198 	     
Perciformes	Serranidae	Aethaloperca rogaa	native 	Redmouth grouper 	Geurape itam 	30874 	     
Myliobatiformes	Aetobatidae	Aetobatus narinari	native 	Whitespotted eagle ray 	Pari burung 	9862 	     
Albuliformes	Albulidae	Albula glossodonta	native 	Roundjaw bonefish 	 	3289 	     
Perciformes	Carangidae	Alectis ciliaris	native 	African pompano 	Ikan rambut 	4699 	     
Perciformes	Carangidae	Alectis indica	native 	Indian threadfish 	Kwee rombeh 	171 	     
Perciformes	Carangidae	Alepes djedaba	native 	Shrimp scad 	Bagat 	12484 	     
Lamniformes	Alopiidae	Alopias vulpinus	native 	Thresher 	 	26346 	     
Tetraodontiformes	Monacanthidae	Aluterus scriptus	native 	Scribbled leatherjacket filefish 	Tato kambing 	4699 	     
Anguilliformes	Anguillidae	Anguilla anguilla	not established 	European eel 	 	4699 	     
Anguilliformes	Anguillidae	Anguilla bengalensis	native 	Indian mottled eel 	 	 	     
Anguilliformes	Anguillidae	Anguilla marmorata	native 	Giant mottled eel 	Moa kembang 	4699 	     
Anguilliformes	Anguillidae	Anguilla reinhardtii	native 	Speckled longfin eel 	 	5259 	     
Rhinopristiformes	Pristidae	Anoxypristis cuspidata	native 	Pointed sawfish 	Cucut gergaji 	4537 	     
Perciformes	Serranidae	Anyperodon leucogrammicus	native 	Slender grouper 	Kiapu tallah 	30874 	     
Perciformes	Lutjanidae	Aphareus furca	native 	Small toothed jobfish 	Kurus bali 	4887 	     
Perciformes	Lutjanidae	Aphareus rutilans	native 	Rusty jobfish 	Cangah 	4887 	     
Perciformes	Lutjanidae	Aprion virescens	native 	Green jobfish 	Ikan agam 	4699 	     
Perciformes	Carangidae	Atule mate	native 	Yellowtail scad 	Selar como 	10984 	     
Perciformes	Scombridae	Auxis rochei	native 	Bullet tuna 	Curubok 	9987 	     
Perciformes	Scombridae	Auxis thazard	native 	Frigate tuna 	Alalalum 	4699 	     
Siluriformes	Sisoridae	Bagarius bagarius	native 	Goonch 	Kelaling 	4537 	     
Perciformes	Labridae	Bodianus bilunulatus	native 	Tarry hogfish 	Bajing lout 	4887 	     
Ophidiiformes	Ophidiidae	Brotula multibarbata	native 	Goatsbeard brotula 	Bearded rockling 	559 	     
Perciformes	Carangidae	Carangoides armatus	native 	Longfin trevally 	Kwee 	12484 	     
Perciformes	Carangidae	Carangoides bajad	native 	Orangespotted trevally 	Kwee tutul 	4537 	     
Perciformes	Carangidae	Carangoides chrysophrys	native 	Longnose trevally 	Kwee 	12484 	     
Perciformes	Carangidae	Carangoides coeruleopinnatus	native 	Coastal trevally 	Simba-simba lili bonua 	12484 	     
Perciformes	Carangidae	Carangoides dinema	native 	Shadow trevally 	Kwee 	4537 	     
Perciformes	Carangidae	Carangoides ferdau	native 	Blue trevally 	Nyubba biasa 	12484 	     
Perciformes	Carangidae	Carangoides fulvoguttatus	native 	Yellowspotted trevally 	Kwee macan 	4699 	     
Perciformes	Carangidae	Carangoides gymnostethus	native 	Bludger 	Kwee lilin 	5213 	     
Perciformes	Carangidae	Carangoides hedlandensis	native 	Bumpnose trevally 	 	12484 	     
Perciformes	Carangidae	Carangoides malabaricus	native 	Malabar trevally 	Kuweh 	12484 	     
Perciformes	Carangidae	Carangoides oblongus	native 	Coachwhip trevally 	Kwee 	4537 	     
Perciformes	Carangidae	Carangoides orthogrammus	native 	Island trevally 	Pipilli 	4699 	     
Perciformes	Carangidae	Carangoides plagiotaenia	native 	Barcheek trevally 	Bar-cheek trevally 	4537 	     
Perciformes	Carangidae	Carangoides praeustus	native 	Brownback trevally 	Selar malam 	4537 	     
Perciformes	Carangidae	Caranx bucculentus	native 	Bluespotted trevally 	 	4537 	     
Perciformes	Carangidae	Caranx heberi	native 	Blacktip trevally 	Black-tip trevally 	4537 	     
Perciformes	Carangidae	Caranx ignobilis	native 	Giant trevally 	Gapok 	4699 	     
Perciformes	Carangidae	Caranx lugubris	native 	Black jack 	Meah mondo 	4699 	     
Perciformes	Carangidae	Caranx melampygus	native 	Bluefin trevally 	Cá Khế vây đen 	4699 	     
Perciformes	Carangidae	Caranx papuensis	native 	Brassy trevally 	Nyubba langko kape 	4699 	     
Perciformes	Carangidae	Caranx sexfasciatus	native 	Bigeye trevally 	Selar 	4699 	     
Perciformes	Carangidae	Caranx tille	native 	Tille trevally 	Gabu 	4537 	     
Cypriniformes	Cyprinidae	Carassius auratus	introduced 	Goldfish 	 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus albimarginatus	native 	Silvertip shark 	Cucut lanjaman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus amblyrhynchos	native 	Blacktail reef shark 	Cucut lanjaman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus amboinensis	native 	Pigeye shark 	Mongiwa 	5578 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus brevipinna	native 	Spinner shark 	Cucut lanjaman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus leucas	native 	Bull shark 	Cucut bekeman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus limbatus	native 	Blacktip shark 	Cucut lanjaman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus longimanus	native 	Oceanic whitetip shark 	Cucut koboy 	30874 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus plumbeus	native 	Sandbar shark 	Cucut lanjaman 	4699 	     
Carcharhiniformes	Carcharhinidae	Carcharhinus sealei	native 	Blackspot shark 	Cucut lanjaman 	5213 	     
Lamniformes	Odontaspididae	Carcharias taurus	native 	Sand tiger shark 	Hiu anjing 	4699 	     
Perciformes	Serranidae	Cephalopholis argus	native 	Peacock hind 	Geurape brinchek itam 	4887 	     
Perciformes	Serranidae	Cephalopholis miniata	native 	Coral hind 	Sunu merah 	30874 	     
Perciformes	Serranidae	Cephalopholis polleni	native 	Harlequin hind 	Gerape 	30874 	     
Perciformes	Serranidae	Cephalopholis sexmaculata	native 	Sixblotch hind 	Saddled rock cod 	30874 	     
Perciformes	Serranidae	Cephalopholis spiloparaea	native 	Strawberry hind 	Kiapu mira polos 	30874 	     
Perciformes	Channidae	Channa marulius	native 	Great snakehead 	 	4833 	     
Perciformes	Channidae	Channa micropeltes	native 	Indonesian snakehead 	Kamal fish 	4833 	     
Gonorynchiformes	Chanidae	Chanos chanos	native 	Milkfish 	Bandeng 	12484 	     
Perciformes	Labridae	Cheilinus undulatus	native 	Humphead wrasse 	Napoleon 	4699 	     
Clupeiformes	Chirocentridae	Chirocentrus dorab	native 	Dorab wolf-herring 	Bale bale 	9987 	     
Osteoglossiformes	Notopteridae	Chitala chitala	misidentification 	Clown knifefish 	Lopis 	1479 	     
Perciformes	Labridae	Choerodon schoenleinii	native 	Blackspot tuskfish 	Black-spot tuskfish 	4699 	     
Perciformes	Cirrhitidae	Cirrhitus pinnulatus	native 	Stocky hawkfish 	White-spotted hawkfish 	4887 	     
Siluriformes	Clariidae	Clarias gariepinus	introduced 	North African catfish 	 	4537 	     
Anguilliformes	Congridae	Conger cinereus	native 	Longfin African conger 	Moustache conger 	4887 	     
Perciformes	Labridae	Coris aygula	native 	Clown coris 	Clown wrasse 	30874 	     
