,Class,Precision,Recall,F1-Score,Accuracy,Recall/Sensitivity,Specificity
0,0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9981203007518797
2,2,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0,1.0,1.0
5,5,1.0,1.0,1.0,1.0,1.0,1.0
6,6,1.0,1.0,1.0,1.0,1.0,1.0
7,7,1.0,1.0,1.0,1.0,1.0,1.0
8,8,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0
9,9,0.9473684210526315,1.0,0.972972972972973,0.9473684210526315,1.0,0.9980732177263969
10,10,0.75,0.75,0.75,0.6,0.75,0.99812382739212
11,11,0.75,1.0,0.8571428571428571,0.75,1.0,0.99812734082397
12,12,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.8421052631578947,0.9696969696969697,0.9900793650793651
13,13,1.0,1.0,1.0,1.0,1.0,1.0
14,14,1.0,1.0,1.0,1.0,1.0,1.0
15,15,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9981203007518797
16,16,0.8,1.0,0.888888888888889,0.8,1.0,0.99812382739212
17,17,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.896551724137931,0.9285714285714286,0.9980353634577603
18,18,1.0,1.0,1.0,1.0,1.0,1.0
19,19,0.9333333333333333,1.0,0.9655172413793104,0.9333333333333333,1.0,0.9980879541108987
20,20,1.0,1.0,1.0,1.0,1.0,1.0
21,21,1.0,0.75,0.8571428571428571,0.75,0.75,1.0
22,22,1.0,1.0,1.0,1.0,1.0,1.0
23,23,0.9523809523809523,0.9302325581395349,0.9411764705882352,0.8888888888888888,0.9302325581395349,0.9959514170040485
24,24,1.0,1.0,1.0,1.0,1.0,1.0
25,25,1.0,1.0,1.0,1.0,1.0,1.0
26,26,1.0,0.75,0.8571428571428571,0.75,0.75,1.0
27,27,1.0,0.5,0.6666666666666666,0.5,0.5,1.0
28,29,0.5,1.0,0.6666666666666666,0.5,1.0,0.9981343283582089
29,30,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.996268656716418
30,31,1.0,1.0,1.0,1.0,1.0,1.0
31,32,0.8,1.0,0.888888888888889,0.8,1.0,0.99812382739212
32,33,1.0,1.0,1.0,1.0,1.0,1.0
33,35,1.0,1.0,1.0,1.0,1.0,1.0
34,36,0.92,1.0,0.9583333333333334,0.92,1.0,0.9961089494163424
35,37,1.0,0.9166666666666666,0.9565217391304348,0.9166666666666666,0.9166666666666666,1.0
36,38,1.0,1.0,1.0,1.0,1.0,1.0
37,39,1.0,1.0,1.0,1.0,1.0,1.0
38,40,0.7777777777777778,1.0,0.8750000000000001,0.7777777777777778,1.0,0.9962264150943396
39,41,1.0,1.0,1.0,1.0,1.0,1.0
40,42,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.8695652173913043,0.9523809523809523,0.9961240310077519
41,43,0.9047619047619048,1.0,0.9500000000000001,0.9047619047619048,1.0,0.9961389961389961
42,44,1.0,1.0,1.0,1.0,1.0,1.0
43,45,0.9736842105263158,0.925,0.9487179487179489,0.9024390243902439,0.925,0.9979879275653923
44,46,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,0.8571428571428571,1.0
45,47,1.0,1.0,1.0,1.0,1.0,1.0
46,48,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,0.8333333333333334,1.0
47,49,1.0,0.8888888888888888,0.9411764705882353,0.8888888888888888,0.8888888888888888,1.0
48,50,1.0,0.7058823529411765,0.8275862068965517,0.7058823529411765,0.7058823529411765,1.0
49,51,1.0,0.8,0.888888888888889,0.8,0.8,1.0
50,52,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,0.8571428571428571,1.0
51,53,1.0,1.0,1.0,1.0,1.0,1.0
52,54,1.0,0.95,0.9743589743589743,0.95,0.95,1.0
